bairro,regiao,latitude,longitude
Vila Olímpica,Região Urbana Homogênea II,-21.7781261,-46.6065978
Residencial São Bernardo,Região Urbana Homogênea III,-21.789598,-46.593153
Residencial Mantiqueira,Região Urbana Homogênea III,-21.7860122,-46.6000124
Santa Margarida,Região Urbana Homogênea III,-21.78449,-46.5987622
Bianucci,Região Urbana Homogênea III,-21.7938749,-46.5951088
Country Club,Região Urbana Homogênea III,-21.787679,-46.592133
Jardim Elvira Dias,Região Urbana Homogênea III,-21.785291,-46.598649
Residencial Portal do Sol,Região Urbana Homogênea III,-21.7919006,-46.5930345
Residencial Veredas,Região Urbana Homogênea III,-21.7902739,-46.6080856
Jardim Santa Margarida,Região Urbana Homogênea III,-21.78449,-46.5987622
Vila Togni,Região Urbana Homogênea III,-21.7844743,-46.6041867
Jardim América,Região Urbana Homogênea IV,-21.7773621,-46.5969541
Gama Cruz,Região Urbana Homogênea IV,-21.7838953,-46.5864053
Chácara dos Cravos,Região Urbana Homogênea IV,-21.7833419,-46.5842997
Jardim America,Região Urbana Homogênea IV,-21.7773621,-46.5969541
Santa Helena,Região Urbana Homogênea IV,-21.7792528,-46.5940915
Vila Cruz,Região Urbana Homogênea IV,-21.7841177,-46.5903252
Chacara dos Cravos,Região Urbana Homogênea IV,-21.7833419,-46.5842997
São Jorge,Região Urbana Homogênea IV,-21.7780035,-46.5913529
Vila Rica,Região Urbana Homogênea IV,-21.7793652,-46.5894213
Jardim Sao Jorge,Região Urbana Homogênea IV,-21.7785667,-46.5915304
Loteamento Vila Flora II,Região Urbana Homogênea IV,-21.7823884,-46.5929638
Vila Flora,Região Urbana Homogênea IV,-21.7809416,-46.5924343
Vila Guaporé,Região Urbana Homogênea IV,-21.7825155,-46.5963514
Village São Luís,Região Urbana Homogênea IV,-21.7804262,-46.5959209
Village São Luiz,Região Urbana Homogênea IV,-21.7804262,-46.5959209
Jardim Esmeralda,Região Urbana Homogênea IV,-21.7767084,-46.5960887
Funcionários,Região Urbana Homogênea IX,-21.7901165,-46.5695402
Vila Verde,Região Urbana Homogênea IX,-21.788381,-46.56675
Funcionarios,Região Urbana Homogênea IX,-21.7901165,-46.5695402
,Região Urbana Homogênea IX,-21.7853997,-46.5619342
Loteamento Caldense,Região Urbana Homogênea IX,-21.7848768,-46.5629017
Area Rural de Pocos de Caldas,Região Urbana Homogênea IX,-21.7853997,-46.5619342
Castanheiras,Região Urbana Homogênea IX,-21.7851812,-46.5673209
Gato Preto,Região Urbana Homogênea IX,-21.7888586,-46.5678138
Nossa Senhora da Saúde,Região Urbana Homogênea IX,-21.7909537,-46.5660228
Ponte Preta,Região Urbana Homogênea IX,-21.7853865,-46.5661899
Chacara Rancho Azul,Região Urbana Homogênea IX,-21.7869953,-46.5652676
Ponte Coberta,Região Urbana Homogênea IX,-21.7857682,-46.5652768
Dos Funcionários,Região Urbana Homogênea IX,-21.7901165,-46.5695402
Jardim do Ginasio,Região Urbana Homogênea V,-21.7837448,-46.5818897
Marçal Santos ,Região Urbana Homogênea V,-21.7849432,-46.5782749
Centro,Região Urbana Homogênea V,-21.7806158,-46.5668298
Vila Nossa Senhora de Fatima,Região Urbana Homogênea V,-21.7823866,-46.5713473
Marçal Santos,Região Urbana Homogênea V,-21.7849432,-46.5782749
Jardim Ginásio,Região Urbana Homogênea V,-21.7837448,-46.5818897
João Pinheiro,Região Urbana Homogênea V,-21.7849529,-46.5746603
Residencial Pitangueiras,Região Urbana Homogênea VI,-21.787263,-46.5872559
Vila Iguatimara,Região Urbana Homogênea VI,-21.7865272,-46.5785761
Loteamento Jardim Nova Europa,Região Urbana Homogênea VI,-21.7874601,-46.5861637
Vila Fátima,Região Urbana Homogênea VI,-21.7865272,-46.5785761
Jardim Das Acácias,Região Urbana Homogênea VI,-21.7874601,-46.5861637
Vila Miglioranzi,Região Urbana Homogênea VI,-21.7865077,-46.585806
Condominio Pitangueiras,Região Urbana Homogênea VI,-21.787263,-46.5872559
Vila Iguatimara e Fatima,Região Urbana Homogênea VI,-21.7865272,-46.5785761
Campo da Mogiana,Região Urbana Homogênea VI,-21.7892902,-46.5824922
São Geraldo,Região Urbana Homogênea VI,-21.7900738,-46.585806
Vila Bela,Região Urbana Homogênea VII,-21.7901072,-46.5731544
Jardim Planalto,Região Urbana Homogênea VII,-21.7893117,-46.5743592
Da Saude,Região Urbana Homogênea VII,-21.7909027,-46.5719496
Santa Angela IV,Região Urbana Homogênea VIII,-21.8015929,-46.5746603
Santa Ângela,Região Urbana Homogênea VIII,-21.8015929,-46.5746603
Jardim Vitoria,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
Jardim Vitória,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
Santa Augusta,Região Urbana Homogênea VIII,-21.7932774,-46.5728532
Residencial Morumbi,Região Urbana Homogênea VIII,-21.8068271,-46.5811316
Jardim Vitoria V,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
Santa Angela,Região Urbana Homogênea VIII,-21.8015929,-46.5746603
Jardim Santa Augusta,Região Urbana Homogênea VIII,-21.7932774,-46.5728532
Jardim Filipino,Região Urbana Homogênea VIII,-21.7976407,-46.5707449
Santa Maria,Região Urbana Homogênea VIII,-21.7984203,-46.5758652
Jardim Vitoria Iv,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
Jardim Quisisana,Região Urbana Homogênea X,-21.8004264,-46.5656252
Jardim Carolina,Região Urbana Homogênea X,-21.7933055,-46.5670992
Vila Líder,Região Urbana Homogênea X,-21.7976452,-46.5689379
Bela Vista,Região Urbana Homogênea X,-21.7952771,-46.565324
Jardim Bela Vista,Região Urbana Homogênea X,-21.7952771,-46.565324
Jardim Centenario,Região Urbana Homogênea XI,-21.8067663,-46.5650229
Jardim Bandeirantes,Região Urbana Homogênea XI,-21.8186471,-46.5668298
São José,Região Urbana Homogênea XI,-21.8095282,-46.5698414
Jardim Centenário,Região Urbana Homogênea XI,-21.8067663,-46.5650229
Jardim Kennedy,Região Urbana Homogênea XII,-21.8423891,-46.5812872
Parque Manuel Marques,Região Urbana Homogênea XII,-21.8376638,-46.5668298
Jardim Esperança,Região Urbana Homogênea XII,-21.8376638,-46.5668298
Jardim Kennedy I e II,Região Urbana Homogênea XII,-21.840935,-46.577149
Santa Teresa,Região Urbana Homogênea XII,-21.8303197,-46.566335
Jardim Aeroporto,Região Urbana Homogênea XII,-21.8483506,-46.5722508
Jardim do Contorno,Região Urbana Homogênea XII,-21.8242114,-46.5583982
Jardim São Bento,Região Urbana Homogênea XII,-21.8354966,-46.5703966
Conjunto Habitacional Eng. Pedro Afonso Junqueira,Região Urbana Homogênea XIII,-21.8481242,-46.5672576
Pqe Nações,Região Urbana Homogênea XIII,-21.8492066,-46.5645567
Parque São Sebastião ,Região Urbana Homogênea XIII,-21.8582573,-46.5716484
Parque das Nações,Região Urbana Homogênea XIII,-21.8483643,-46.5650229
Conjunto Habitacional Pedro Afonso Junqueira,Região Urbana Homogênea XIII,-21.8566874,-46.5632161
São Sebastião,Região Urbana Homogênea XIII,-21.8582573,-46.5716484
Vila Matilde,Região Urbana Homogênea XIII,-21.8553354,-46.5709177
Jardim Santa Lúcia,Região Urbana Homogênea XIX,-21.7984833,-46.5496671
Santa Lúcia,Região Urbana Homogênea XIX,-21.7984833,-46.5496671
Jardim São Paulo,Região Urbana Homogênea XIX,-21.7941214,-46.5517745
Santa Lucia,Região Urbana Homogênea XIX,-21.7984833,-46.5496671
Residencial Santa Clara,Região Urbana Homogênea XIX,-21.7954536,-46.5512852
Jardim Ipê,Região Urbana Homogênea XIX,-21.8036397,-46.5463557
São Benedito,Região Urbana Homogênea XV,-21.7913254,-46.5614093
Jardim Santa Rita,Região Urbana Homogênea XV,-21.7941129,-46.5553873
Jardim Cascatinha,Região Urbana Homogênea XV,-21.7944974,-46.5602049
Cascatinha,Região Urbana Homogênea XV,-21.7944974,-46.5602049
Jardim Del Rey,Região Urbana Homogênea XVI,-21.7996442,-46.5614093
Residencial Summer Ville,Região Urbana Homogênea XVI,-21.8059383,-46.5566912
Santana do Pedregal,Região Urbana Homogênea XVII,-21.781656,-46.5472587
Jardim Brasil,Região Urbana Homogênea XVII,-21.7878127,-46.5397335
Jardim Daniele,Região Urbana Homogênea XVII,-21.7824336,-46.5456313
Boa Esperanca II,Região Urbana Homogênea XVII,-21.7878127,-46.5397335
Vila Jose Carlos,Região Urbana Homogênea XVIII,-21.786199,-46.5520755
Vila Nova,Região Urbana Homogênea XVIII,-21.786983,-46.5553873
Nova Aparecida,Região Urbana Homogênea XVIII,-21.7941299,-46.5481619
Monte Almo,Região Urbana Homogênea XVIII,-21.7885821,-46.549366
Santana,Região Urbana Homogênea XVIII,-21.7857615,-46.5485366
Santa Emília,Região Urbana Homogênea XVIII,-21.7923497,-46.5472587
Jardim Monte Almo,Região Urbana Homogênea XVIII,-21.7885821,-46.549366
Santo André,Região Urbana Homogênea XVIII,-21.793745,-46.5433455
Nossa Senhora Aparecida,Região Urbana Homogênea XVIII,-21.7891609,-46.5556884
Vila Menezes,Região Urbana Homogênea XVIII,-21.7909649,-46.5466567
Jardim Regina,Região Urbana Homogênea XVIII,-21.7909754,-46.5421414
Jardim Nova Aparecida,Região Urbana Homogênea XVIII,-21.7941299,-46.5481619
Aparecida,Região Urbana Homogênea XVIII,-21.7911189,-46.5491105
Bem Bastos,Região Urbana Homogênea XVIII,-21.7885928,-46.5448505
Santa Emilia,Região Urbana Homogênea XVIII,-21.7923497,-46.5472587
São João,Região Urbana Homogênea XVIII,-21.787787,-46.5505702
José Carlos,Região Urbana Homogênea XVIII,-21.786199,-46.5520755
Residencial Torre,Região Urbana Homogênea XXI,-21.7894024,-46.5373256
Loteamento Nova Primavera,Região Urbana Homogênea XXI,-21.7883469,-46.5358545
"Dom Bosco I, II, III",Região Urbana Homogênea XXII,-21.7902819,-46.5398988
Augusto de Almeida,Região Urbana Homogênea XXII,-21.7929826,-46.5301028
Boa Esperanca,Região Urbana Homogênea XXII,-21.7965637,-46.5219784
Boa Esperança,Região Urbana Homogênea XXII,-21.7965637,-46.5219784
Campo do Retirinho,Região Urbana Homogênea XXII,-21.7957983,-46.5261391
Loteamento Residencial Santa Clara II,Região Urbana Homogênea XXII,-21.8038525,-46.5155133
Dom Bosco,Região Urbana Homogênea XXII,-21.7997055,-46.534316
Estância São José,Região Urbana Homogênea XXII,-21.8005226,-46.5222792
Chácara Alvorada,Região Urbana Homogênea XXII,-21.7981318,-46.5295009
Jardim Campos Elísios,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
Campos Elíseos,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
Jardim Itamaraty I,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
"Jardim Itamaraty I, II, III, IV e V",Região Urbana Homogênea XXIV,-21.8164004,-46.500019
Jardim Itamaraty V,Região Urbana Homogênea XXIV,-21.8114624,-46.5003808
Jardim Itamaraty II,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
Parque Pinheiros,Região Urbana Homogênea XXIV,-21.8076838,-46.5042296
Marco Divisório,Região Urbana Homogênea XXVII,-21.8447508,-46.6797948
Jardim Das Hortênsias,Região Urbana Homogênea XX,-21.8084079,-46.5391315
Jardim dos Estados,Região Urbana Homogênea XIV,-21.7759002,-46.5523766
Jardim Country Club,Região Urbana Homogênea III,-21.7963333,-46.6150375
Monte Verde,Região Urbana Homogênea XX,-21.7948209,-46.5450916
Jardim Das Azaléias,Região Urbana Homogênea XX,-21.8099781,-46.5457536
Parque Primavera,Região Urbana Homogênea XXI,-21.7633067,-46.5210757
Jardim Amaryllis,Região Urbana Homogênea XX,-21.8052351,-46.5412384
Estancia Pocos de Caldas,Região Urbana Homogênea XXIV,-21.779225,-46.4825787
Jardim Doutor Ottoni,Região Urbana Homogênea III,-21.7931797,-46.609009
Jardim Philadelphia,Região Urbana Homogênea XXIII,-21.8203359,-46.5138553
Caio Junqueira,Região Urbana Homogênea XIX,-21.8056108,-46.5505702
Jardim dos Manacas,Região Urbana Homogênea III,-21.7988892,-46.6049089
