neighbor_region,neighbor_avg_income
Região Urbana Homogênea I,2346.39
Região Urbana Homogênea II,1235.02
Região Urbana Homogênea III,1354.3
Região Urbana Homogênea IV,1049.08
Região Urbana Homogênea V,2338.83
Região Urbana Homogênea VI,2371.8
Região Urbana Homogênea VII,2466.23
Região Urbana Homogênea VIII,1501.74
Região Urbana Homogênea IX,2646.14
Região Urbana Homogênea X,1832.41
Região Urbana Homogênea XI,1062.85
Região Urbana Homogênea XII,855.65
Região Urbana Homogênea XIII,823.98
Região Urbana Homogênea XIV,2726.36
Região Urbana Homogênea XV,1645.2
Região Urbana Homogênea XVI,2955.67
Região Urbana Homogênea XVII,1363.36
Região Urbana Homogênea XVIII,901.56
Região Urbana Homogênea XIX,1081.0
Região Urbana Homogênea XX,1836.92
Região Urbana Homogênea XXI,1551.85
Região Urbana Homogênea XXII,877.18
Região Urbana Homogênea XXIII,1337.69
Região Urbana Homogênea XXIV,991.08
Região Urbana Homogênea XXV,980.75
Região Urbana Homogênea XXVI,764.5
Região Urbana Homogênea XXVII,812.82
