neighbor_region,taxa_alfabetizacao_bairro
Região Urbana Homogênea I,96.2
Região Urbana Homogênea II,97.0
Região Urbana Homogênea III,97.4
Região Urbana Homogênea IV,95.8
Região Urbana Homogênea V,99.2
Região Urbana Homogênea VI,98.5
Região Urbana Homogênea VII,99.5
Região Urbana Homogênea VIII,98.2
Região Urbana Homogênea IX,98.8
Região Urbana Homogênea X,98.4
Região Urbana Homogênea XI,95.1
Região Urbana Homogênea XII,95.6
Região Urbana Homogênea XIII,95.3
Região Urbana Homogênea XIV,99.0
Região Urbana Homogênea XV,96.7
Região Urbana Homogênea XVI,98.8
Região Urbana Homogênea XVII,96.3
Região Urbana Homogênea XVIII,95.0
Região Urbana Homogênea XIX,97.6
Região Urbana Homogênea XX,99.1
Região Urbana Homogênea XXI,98.5
Região Urbana Homogênea XXII,95.3
Região Urbana Homogênea XXIII,99.5
Região Urbana Homogênea XXIV,96.2
Região Urbana Homogênea XXV,95.8
Região Urbana Homogênea XXVI,96.6
Região Urbana Homogênea XXVII,93.4
