neighborhood,neighbor_region,neighbor_latitude,neighbor_longitude
vila_olimpica,Região Urbana Homogênea II,-21.7781261,-46.6065978
residencial_sao_bernardo,Região Urbana Homogênea III,-21.789598,-46.593153
residencial_mantiqueira,Região Urbana Homogênea III,-21.7860122,-46.6000124
santa_margarida,Região Urbana Homogênea III,-21.78449,-46.5987622
bianucci,Região Urbana Homogênea III,-21.7938749,-46.5951088
country_club,Região Urbana Homogênea III,-21.787679,-46.592133
jardim_elvira_dias,Região Urbana Homogênea III,-21.785291,-46.598649
residencial_portal_do_sol,Região Urbana Homogênea III,-21.7919006,-46.5930345
residencial_veredas,Região Urbana Homogênea III,-21.7902739,-46.6080856
jardim_santa_margarida,Região Urbana Homogênea III,-21.78449,-46.5987622
vila_togni,Região Urbana Homogênea III,-21.7844743,-46.6041867
jardim_america,Região Urbana Homogênea IV,-21.7773621,-46.5969541
gama_cruz,Região Urbana Homogênea IV,-21.7838953,-46.5864053
santa_helena,Região Urbana Homogênea IV,-21.7792528,-46.5940915
vila_cruz,Região Urbana Homogênea IV,-21.7841177,-46.5903252
sao_jorge,Região Urbana Homogênea IV,-21.7780035,-46.5913529
vila_rica,Região Urbana Homogênea IV,-21.7793652,-46.5894213
jardim_sao_jorge,Região Urbana Homogênea IV,-21.7785667,-46.5915304
vila_flora,Região Urbana Homogênea IV,-21.7823884,-46.5929638
vila_guapore,Região Urbana Homogênea IV,-21.7825155,-46.5963514
village_sao_luis,Região Urbana Homogênea IV,-21.7804262,-46.5959209
village_sao_luiz,Região Urbana Homogênea IV,-21.7804262,-46.5959209
jardim_esmeralda,Região Urbana Homogênea IV,-21.7767084,-46.5960887
funcionarios,Região Urbana Homogênea IX,-21.7901165,-46.5695402
vila_verde,Região Urbana Homogênea IX,-21.788381,-46.56675
loteamento_caldense,Região Urbana Homogênea IX,-21.7848768,-46.5629017
castanheiras,Região Urbana Homogênea IX,-21.7851812,-46.5673209
gato_preto,Região Urbana Homogênea IX,-21.7888586,-46.5678138
nossa_senhora_da_saude,Região Urbana Homogênea IX,-21.7909537,-46.5660228
ponte_preta,Região Urbana Homogênea IX,-21.7853865,-46.5661899
ponte_coberta,Região Urbana Homogênea IX,-21.7857682,-46.5652768
jardim_do_ginasio,Região Urbana Homogênea V,-21.7837448,-46.5818897
marcal_santos,Região Urbana Homogênea V,-21.7849432,-46.5782749
centro,Região Urbana Homogênea V,-21.7806158,-46.5668298
vila_nossa_senhora_de_fatima,Região Urbana Homogênea V,-21.7823866,-46.5713473
jardim_ginasio,Região Urbana Homogênea V,-21.7837448,-46.5818897
joao_pinheiro,Região Urbana Homogênea V,-21.7849529,-46.5746603
residencial_pitangueiras,Região Urbana Homogênea VI,-21.787263,-46.5872559
vila_iguatimara,Região Urbana Homogênea VI,-21.7865272,-46.5785761
jardim_europa,Região Urbana Homogênea VI,-21.798116874028842,-46.58313269433582
vila_fatima,Região Urbana Homogênea VI,-21.7865272,-46.5785761
jardim_das_acacias,Região Urbana Homogênea VI,-21.7874601,-46.5861637
vila_miglioranzi,Região Urbana Homogênea VI,-21.7865077,-46.585806
condominio_pitangueiras,Região Urbana Homogênea VI,-21.787263,-46.5872559
vila_iguatimara_e_fatima,Região Urbana Homogênea VI,-21.7865272,-46.5785761
campo_da_mogiana,Região Urbana Homogênea VI,-21.7892902,-46.5824922
sao_geraldo,Região Urbana Homogênea VI,-21.7900738,-46.585806
vila_bela,Região Urbana Homogênea VII,-21.7901072,-46.5731544
jardim_planalto,Região Urbana Homogênea VII,-21.7893117,-46.5743592
da_saude,Região Urbana Homogênea VII,-21.7909027,-46.5719496
santa_angela_iv,Região Urbana Homogênea VIII,-21.8015929,-46.5746603
jardim_vitoria,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
santa_augusta,Região Urbana Homogênea VIII,-21.7932774,-46.5728532
residencial_morumbi,Região Urbana Homogênea VIII,-21.8068271,-46.5811316
jardim_vitoria_v,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
santa_angela,Região Urbana Homogênea VIII,-21.8015929,-46.5746603
jardim_santa_augusta,Região Urbana Homogênea VIII,-21.7932774,-46.5728532
jardim_filipino,Região Urbana Homogênea VIII,-21.7976407,-46.5707449
santa_maria,Região Urbana Homogênea VIII,-21.7984203,-46.5758652
jardim_vitoria_iv,Região Urbana Homogênea VIII,-21.8059496,-46.5752628
jardim_quisisana,Região Urbana Homogênea X,-21.8004264,-46.5656252
jardim_carolina,Região Urbana Homogênea X,-21.7933055,-46.5670992
vila_lider,Região Urbana Homogênea X,-21.7976452,-46.5689379
bela_vista,Região Urbana Homogênea X,-21.7952771,-46.565324
jardim_bela_vista,Região Urbana Homogênea X,-21.7952771,-46.565324
jardim_centenario,Região Urbana Homogênea XI,-21.8067663,-46.5650229
jardim_bandeirantes,Região Urbana Homogênea XI,-21.8186471,-46.5668298
sao_jose,Região Urbana Homogênea XI,-21.8095282,-46.5698414
jardim_kennedy,Região Urbana Homogênea XII,-21.8423891,-46.5812872
parque_manuel_marques,Região Urbana Homogênea XII,-21.8376638,-46.5668298
jardim_esperanca,Região Urbana Homogênea XII,-21.8376638,-46.5668298
jardim_kennedy_i_e_ii,Região Urbana Homogênea XII,-21.840935,-46.577149
santa_teresa,Região Urbana Homogênea XII,-21.8303197,-46.566335
jardim_aeroporto,Região Urbana Homogênea XII,-21.8483506,-46.5722508
jardim_do_contorno,Região Urbana Homogênea XII,-21.8242114,-46.5583982
jardim_sao_bento,Região Urbana Homogênea XII,-21.8354966,-46.5703966
conjunto_habitacional_eng._pedro_afonso_junqueira,Região Urbana Homogênea XIII,-21.8481242,-46.5672576
